duration,service,src_bytes,dst_bytes,labels
-2.3025850929940455,b'http',5.447168313280391,7.50609715226817,1
0.09531017980432493,b'smtp',7.419440533160009,5.6458001921178536,1
-2.3025850929940455,b'http',5.656341400056065,8.99132578474565,1
-2.3025850929940455,b'http',5.464255444091467,7.587361188975415,1
1.410986973710262,b'smtp',8.091658020254139,5.799395638859147,1
-2.3025850929940455,b'http',5.004617221770693,8.063724110009591,1
-2.3025850929940455,b'http',4.977423159890142,6.269285659712888,1
-2.3025850929940455,b'http',5.784132827309859,7.661574139074815,1
-2.3025850929940455,b'ftp_data',5.8114403493627105,-2.3025850929940455,-1
-2.3025850929940455,b'http',5.371103036273684,6.697157696836445,1
2.312535423847214,b'smtp',9.509859607953658,7.214577994961301,1
-2.3025850929940455,b'http',5.420977379283924,8.069373665226372,1
-2.3025850929940455,b'http',5.756058619221572,7.8617655978833065,1
-2.3025850929940455,b'http',5.849612922867741,6.765154310383115,1
-2.3025850929940455,b'http',5.347583607850955,7.058844133344993,1
-2.3025850929940455,b'http',5.075798620002669,8.983577779826584,1
-2.3025850929940455,b'http',5.242275975664412,7.806330005050512,1
-2.3025850929940455,b'http',5.425390449111513,9.152615915611445,1
-2.3025850929940455,b'http',5.872399439949042,5.727173427446777,1
-2.3025850929940455,b'ftp_data',5.620763118936109,-2.3025850929940455,1
-2.3025850929940455,b'http',5.714062784063757,6.937411163889648,1
-2.3025850929940455,b'http',5.273512247629066,9.297719181454227,1
-2.3025850929940455,b'http',5.303802296778606,6.64261717096525,1
-2.3025850929940455,b'http',5.8321756894246,6.408693522136389,1
-2.3025850929940455,b'http',5.774862056337153,7.2605928696896145,1
2.89591193827178,b'smtp',6.845986252584505,5.793318439967056,1
-2.3025850929940455,b'http',5.288771953704505,6.155070385705995,1
-2.3025850929940455,b'http',5.799395638859147,5.799395638859147,1
-2.3025850929940455,b'ftp_data',5.50573795739701,-2.3025850929940455,-1
-2.3025850929940455,b'smtp',7.0716582502520735,5.802420444553201,1
-2.3025850929940455,b'http',5.700777965635902,7.898076837177208,1
0.09531017980432493,b'smtp',7.535883823167634,5.802420444553201,1
-2.3025850929940455,b'http',5.293807211070151,9.241751825930276,1
-2.3025850929940455,b'http',5.826295049131593,6.708206176521556,1
-2.3025850929940455,b'http',5.774862056337153,7.945590850934636,1
-2.3025850929940455,b'http',5.3895282466014205,8.064038812932633,1
0.09531017980432493,b'smtp',7.470850720181809,5.900171288661591,1
-2.3025850929940455,b'http',5.43851399704132,5.236973736306985,1
-2.3025850929940455,b'http',5.43415858945945,7.055399120894699,1
-2.3025850929940455,b'http',5.268373490174964,5.572534188046247,1
-2.3025850929940455,b'http',5.442850517280335,8.49619424882018,1
-2.3025850929940455,b'http',5.4514675460417115,8.799978293255311,1
-2.3025850929940455,b'http',5.878015854600402,9.278662351798975,1
